species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;uk_ssp245_10_2090;0.5;0.1;0.3;0.2950275;0.2021475
clssm_mcrp;uk_ssp245_10_2090;0.275;0.05;0.1625;0.16091270833333335;0.11021729166666668
clssm_mcrp;uk_ssp245_10_2090;0.8;0.175;0.48750000000000004;0.47610125;0.32632750000000005
clssm_mcrp;uk_ssp245_10_2090;1;0.25;0.625;0.6035791666666667;0.4139333333333333
clssm_mcrp;uk_ssp245_10_2090;1;0.25;0.625;0.6035791666666667;0.4139333333333333
clssm_mcrp;uk_ssp245_10_2090;1;0.25;0.625;0.6035791666666667;0.4139333333333333
clssm_mcrp;uk_ssp245_10_2090;0.975;0.15;0.5625;0.563131875;0.38551312499999996
clssm_mcrp;uk_ssp245_10_2090;0.775;0.125;0.45;0.449178125;0.307545625
clssm_mcrp;uk_ssp245_10_2090;1;0.225;0.6125;0.5968170833333333;0.40911416666666667
clssm_mcrp;uk_ssp245_10_2090;1;0.15;0.575;0.5765308333333333;0.39465666666666666
clssm_mcrp;uk_ssp245_10_2090;0.825;0.125;0.475;0.47597604166666657;0.3258327083333333
clssm_mcrp;uk_ssp245_10_2090;0.95;0.175;0.5625;0.556495;0.38118874999999997
clssm_mcrp;uk_ssp245_10_2090;0.9;0.125;0.5125;0.5161729166666666;0.3532633333333333
clssm_mcrp;uk_ssp245_10_2090;0.375;0.05;0.2125;0.21450854166666666;0.14679145833333332
clssm_mcrp;uk_ssp245_10_2090;1;0.1;0.55;0.5630066666666667;0.3850183333333333
clssm_mcrp;uk_ssp245_10_2090;0.975;0.05;0.5125;0.5360835416666666;0.3662364583333333
clssm_mcrp;uk_ssp245_10_2090;0.925;0.05;0.48750000000000004;0.509285625;0.347949375
clssm_mcrp;uk_ssp245_10_2090;0.1;0;0.05;0.053595833333333336;0.036574166666666665
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.65;0.05;0.35000000000000003;0.3618970833333333;0.24737041666666668
clssm_mcrp;uk_ssp245_10_2090;0.525;0.05;0.28750000000000003;0.29490229166666665;0.20165270833333335
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.175;0.65;0.4125;0.26960687499999997;0.18930312500000002
