"","freq_mean","pa_mean","pa_sums"
"571",0.1125,0,0
"572",0.053125,0,0
"573",0.00625,0,0
"574",0.084375,0,0
"575",0.321875,0,0
"576",0.296875,0,0
"577",0.525,0.5,0.5
"578",0.575,0.25,0.25
"579",0.5,0,0
"580",0.475,0,0
"581",0.290625,0,0
"582",0.4125,0,0
"583",0.5875,0.25,0.25
"584",0.04375,0,0
"585",0.040625,0,0
"586",0.190625,0,0
"587",0.703125,0.5,0.5
"588",0.7125,0.5,0.5
"589",0.521875,0,0
"590",0.14375,0,0
"591",0.040625,0,0
"592",0.2375,0,0
"593",0.06875,0,0
"594",0.06875,0,0
"595",0.178125,0,0
"596",0.29375,0,0
"597",0.0375,0,0
"598",0.003125,0,0
"599",0.140625,0,0
"600",0.371875,0,0
"601",0.428125,0,0
"602",0.440625,0,0
"603",0.071875,0,0
"604",0.10625,0,0
"605",0.18125,0,0
"606",0.090625,0,0
"607",0.43125,0,0
"608",0.26875,0,0
"609",0.13125,0,0
"610",0.01875,0,0
"611",0.196875,0,0
"612",0.15,0,0
"613",0.7125,0.5,0.5
"614",0.0125,0,0
"615",0.015625,0,0
"616",0.040625,0,0
"617",0.03125,0,0
"618",0.059375,0,0
"619",0.03125,0,0
"620",0,0,0
"621",0.18125,0,0
"622",0.34375,0,0
"623",0.190625,0,0
"624",0.153125,0,0
"625",0.00625,0,0
"626",0.403125,0,0
"627",0.525,0.25,0.25
"628",0.640625,0.25,0.25
"629",0.428125,0,0
"630",0.121875,0,0
"631",0.128125,0,0
"632",0.4875,0.25,0.25
"633",0.709375,0.5,0.5
"634",0.609375,0.5,0.5
"635",0.0125,0,0
"636",0.040625,0,0
"637",0.01875,0,0
"638",0.00625,0,0
"639",0.1625,0,0
"640",0.2125,0,0
"641",0,0,0
"642",0.015625,0,0
