species;scenario;rbf;svm;mda;consensus;wmean_auc;wmean_tss
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0.15;0.075;0;0.075;0.0658525;0.051051875000000004
clssm_mcrp;current;0.075;0.025;0;0.03333333333333333;0.029260416666666664;0.022677708333333334
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.9;0.525;0.825;0.75;0.6487081250000001;0.494656875
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.8;0.45;0.75;0.6666666666666666;0.5764204166666667;0.43935708333333334
clssm_mcrp;current;0.225;0;0.4;0.20833333333333334;0.17807625000000002;0.13397708333333333
clssm_mcrp;current;0.825;0.4;0.825;0.6833333333333332;0.5901210416666666;0.4491933333333333
clssm_mcrp;current;0.95;0.9;0.975;0.9416666666666668;0.8154110416666667;0.6225620833333334
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.65;0.25;0.975;0.625;0.5370727083333333;0.40652916666666666
clssm_mcrp;current;0.8;0.55;0.85;0.7333333333333334;0.6338195833333334;0.48290125
clssm_mcrp;current;0.75;0.375;0.575;0.5666666666666667;0.49067937500000003;0.37461979166666665
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.325;0.05;0.05;0.14166666666666666;0.12372416666666668;0.0953575
clssm_mcrp;current;0.975;1;0.95;0.975;0.8450291666666666;0.64581875
clssm_mcrp;current;0.975;1;0.425;0.7999999999999999;0.6976485416666667;0.5368375
clssm_mcrp;current;0.975;1;0.35;0.775;0.6765941666666667;0.5212687500000001
clssm_mcrp;current;0.925;0.825;0.1;0.6166666666666667;0.5404720833333333;0.41817687500000006
clssm_mcrp;current;0.975;1;0.5;0.8250000000000001;0.7187029166666666;0.55240625
clssm_mcrp;current;0.45;0.2;0;0.21666666666666667;0.19022583333333332;0.14745916666666667
clssm_mcrp;current;0.475;0.5;0;0.325;0.2855154166666667;0.22147708333333335
clssm_mcrp;current;0.55;0.7;0;0.4166666666666667;0.36609749999999996;0.28403
clssm_mcrp;current;0.45;0.425;0;0.2916666666666667;0.25621083333333333;0.1987272916666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.75;0.9;0.1;0.5833333333333334;0.5113000000000001;0.3956433333333334
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.95;0.9;0.975;0.9416666666666668;0.8154110416666667;0.6225620833333334
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.65;0.15;0.725;0.5083333333333333;0.4375647916666667;0.3318475
clssm_mcrp;current;0.95;0.925;0.975;0.9500000000000001;0.8227427083333333;0.6282585416666667
